"ID";"Ref";"Footprint";"Quantity";"Description";"Manufacturer";
1;"U1";"DIP-8_W7.62mm";1;"ATTINY85-20PU";;;
2;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"50k";;;
3;"SW1";"SW_Push_10mm";1;"SW_Push";;;
4;"D1";"D_DO-35_SOD27_P10.16mm_Horizontal";1;"1N4148";;;
5;"J1";"PinHeader_1x02_P2.54mm_Horizontal";1;"Conn_01x02";;;
6;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"82";;;
7;"U2";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"LM2621";;;
8;"R8";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"500";;;
9;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"150k";;;
10;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"200k";;;
11;"R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
12;"L1";"L_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"6µ8";;;
13;"D2";"D_SOD-323_HandSoldering";1;"NSR0320MW2T1G";;;
14;"C5";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";1;"68µ";;;
15;"C4,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100n";;;
16;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"39p";;;
17;"C2";"CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder";1;"22µ";;;
18;"Q1";"TO-92L_Inline_Wide";1;"2PC945";;;
19;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"33k";;;
20;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6.8k";;;
21;"REF**,REF**";"MountingHole_2.7mm_M2.5_Pad";2;"MountingHole_2.7mm_M2.5_Pad";;;
22;"REF**,REF**";"MountingHole_2.7mm_M2.5";2;"MountingHole_2.7mm_M2.5";;;
23;"BZ1";"Buzzer_12x9.5RM5";1;"Buzzer";;;
24;"REF***";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
